r,phi,phi_var
12.313405738628946,9.29519343395222,0.12000312538485503
12.964986780840109,9.232175579487192,0.16855268368431098
13.651047142873983,9.134004003397614,0.24577015047866269
14.373411346038615,9.003525857179547,0.3177840269940191
15.134000458732338,8.849244799233265,0.3722797767567556
15.93483720536772,8.679758449275653,0.4050332222592061
16.778051345641376,8.477222070203833,0.3729609182740319
17.66588533845535,8.283899689739728,0.2725919115488722
18.600700305552767,8.163471403815736,0.21715369193891831
19.584982310727643,8.228001819165527,0.5389389441148893
20.621348971307775,8.49055895015284,1.3531247137156015
21.71255641949351,9.013759214942567,2.2495415308976163
22.86150663206545,9.698760844103287,2.741810050718101
24.071255147953888,10.43580191017548,2.6257828052797265
25.345019194194197,11.162788956173863,1.9892331318183096
26.686186241878424,11.763175998115456,1.2988952777613463
28.098323014857073,12.217057907721426,0.7320678231566262
29.585184975148902,12.501368093138002,0.7031311287450706
31.150726310284345,12.609061491075536,1.176246276915009
32.79911044914322,12.509498613677422,2.3276071331879393
34.534721134252614,12.17683619732535,4.129769268992135
36.36217407999089,11.57024674397194,6.749454418959914
38.286329247701815,10.575030224613831,9.6904523704182
40.31230377036341,9.271484067537823,11.394475160942463
42.44548556118379,7.917012955344962,9.578493548349009
44.69154764231475,7.1307967071836185,4.192469067420404
47.05646323178933,7.237172154835629,1.5340972704795703
49.546521628805536,7.566180616124637,1.2415766765143985
52.168344939602214,7.685428241969312,1.8723419368488265
54.92890568840788,7.518337387346771,2.918210116180326
57.83554536029743,7.029704586628003,4.394815451164341
60.89599392527013,6.1524475448659715,5.920189294794511
64.11839039547125,4.986014937609782,5.960565558106211
67.51130447022788,4.077773184866295,3.5583433617795635
71.08375932646203,3.835528013848788,1.682625178027532
74.84525561509005,3.7796595984703436,1.0949252804189715
